SK_ID_CURR,TARGET,TARGET_PROB
215138,0,0.06598408121013118
325963,1,0.11447333461686612
206923,0,0.06630319273803074
265855,1,0.08181498366632206
359795,0,0.049520303215925085
395230,1,0.11893385535498269
230166,0,0.07855331516227415
286568,1,0.18432257491909834
236576,1,0.09291659924315356
204357,0,0.04267163306378329
378338,0,0.03584639655759205
429599,1,0.11151012224110499
385538,0,0.04811615388846303
204899,1,0.20376352560859573
168679,1,0.1087473044903505
281751,0,0.06534838018326632
292091,0,0.05428321418820315
348686,1,0.08197021164931523
104935,0,0.0428602622946226
421130,0,0.06184938049433249
235975,0,0.07354185009418579
328391,1,0.26696506674812354
431335,0,0.039686177545069534
170201,0,0.058965025187707104
318905,1,0.12868547690526955
209955,1,0.1178263181060009
406338,1,0.1697978448521961
315953,1,0.24671911167030938
132589,0,0.05943877132956968
187515,0,0.06981870697786287
361061,0,0.06727330358630654
218717,1,0.0890298936879982
199044,0,0.07625775391222761
431122,0,0.05451799107740731
221899,0,0.04592298270909001
339086,1,0.129317302557751
349758,1,0.12916381309511757
279881,0,0.03538887522090069
434900,1,0.12545550447009043
450416,1,0.09942843323498617
107039,0,0.04248843961332215
200381,0,0.03703855623713698
392644,1,0.09735328959588642
143305,0,0.029063214617768122
397621,0,0.07261551535718103
162757,0,0.03659971384149108
186958,0,0.06284942250801522
422504,0,0.05163959764438511
352400,0,0.03468198175816986
414413,1,0.09963855612030548
346612,0,0.021207737228657066
282392,1,0.11663422911276106
446439,0,0.07209352272858878
229321,0,0.045641308050558806
196081,0,0.04951548335325593
372845,0,0.07568499415097163
125179,0,0.05287790848051971
257465,0,0.06146291172603025
310780,0,0.04976560555550962
448710,0,0.03808838104398748
285380,0,0.04494290128376592
224842,0,0.0539153987152606
144406,1,0.08379838300578228
266757,0,0.027079589406860626
233609,1,0.10175511810951925
380445,1,0.09586635399511377
203379,1,0.18599612528138493
330847,1,0.1774442068325598
156356,1,0.15078018343650143
345352,0,0.06479081645982304
419554,0,0.052567449521247395
220362,1,0.11684740594964714
328453,0,0.05935103934305797
449410,0,0.052302697814141645
112653,1,0.08425217281481916
432155,1,0.09032624046131395
389297,1,0.09874941309851423
435078,0,0.04691150749729646
227733,1,0.08302435045515077
332719,0,0.03793829888022984
306143,1,0.2398853393659584
236093,1,0.1800549558859932
102577,0,0.041507750033392125
216798,1,0.13623762203324105
190469,0,0.06703570142446345
127696,0,0.05640244798014139
160803,0,0.06327173318169058
410475,1,0.08313181361035667
422952,1,0.08673583452077184
135028,0,0.030724782962346854
155830,1,0.08900061053080362
447392,0,0.07896157403703659
278419,0,0.05986848548904069
361842,0,0.028975288905853408
106709,1,0.10244020882231884
388583,0,0.035138274122437994
301773,1,0.16036843772708076
193702,0,0.044739439420916294
333786,0,0.051075905661411174
335120,1,0.13261338846158938
448815,0,0.04477785306816503
359879,0,0.06592501212334624
320858,0,0.04987646096997575
198077,0,0.02409714696765271
154503,0,0.06221786288383509
245136,0,0.04183458075423727
145955,0,0.07254045093793562
336384,1,0.08237869185524034
445251,0,0.06580461503490988
150736,1,0.08074590587032254
433303,1,0.1801154326664869
357407,0,0.046300351739654584
191522,0,0.05567885430764474
443580,1,0.10413898125523224
321301,0,0.07533836738571806
194426,1,0.08806089399000971
338837,0,0.0369766597046332
286022,0,0.029643430781541396
439953,0,0.04900043929111088
127428,1,0.13625678459736576
297232,0,0.07788767778074063
259489,1,0.09952896832425398
106351,0,0.05863313982642939
351092,0,0.07671044664037083
288872,0,0.045567219464606255
130816,1,0.11950780200832667
194435,1,0.10223989506760361
351179,0,0.0421352099103741
351500,1,0.10559565570928696
441851,0,0.028846086451776148
121285,1,0.12210580688667817
197214,1,0.15133030260222594
184059,0,0.03510912811089416
451269,1,0.09619694506378836
