SK_ID_CURR,TARGET_PROB,TARGET
215138,0.4567751699536948,0
325963,0.6143419148515763,1
206923,0.3773157519589148,0
265855,0.47521298363539055,1
359795,0.2921252942099091,0
395230,0.5770297364922751,1
230166,0.399239867843363,0
286568,0.7935167831517839,1
236576,0.5949284224638705,1
204357,0.15822310961385874,0
378338,0.10839597797973081,0
429599,0.44955147231182224,0
385538,0.2976331992181964,0
204899,0.7376850861303763,1
168679,0.6310289765978461,1
281751,0.36940859410607796,0
292091,0.26248547514317633,0
348686,0.3793516581677513,0
104935,0.1719864774568932,0
421130,0.27333758837901406,0
235975,0.5037115136290846,1
328391,0.8445450259383435,1
431335,0.2586898617971543,0
170201,0.3707112598396479,0
318905,0.6668923302789762,1
209955,0.5742478296748658,1
406338,0.7351013324303944,1
315953,0.8115846187222299,1
132589,0.2245374055156082,0
187515,0.3540173531680122,0
361061,0.47892629458526303,1
218717,0.44217166199582764,0
199044,0.45479777350567135,0
431122,0.3683811877759941,0
221899,0.28113516332925126,0
339086,0.6989116464245576,1
349758,0.6354813548508426,1
279881,0.2693167320715443,0
434900,0.5817030354700766,1
450416,0.6199857977159616,1
107039,0.19122117709452327,0
200381,0.10628913552284015,0
392644,0.5327622211380251,1
143305,0.19499692633142013,0
397621,0.4460782265488857,0
162757,0.16896981063636654,0
186958,0.26878621029733957,0
422504,0.3810823463016704,0
352400,0.2098579096844926,0
414413,0.5777651814279755,1
346612,0.0984730468273018,0
282392,0.5923107565973802,1
446439,0.31273169064257833,0
229321,0.32526589717159515,0
196081,0.1901697239527078,0
372845,0.3029220806323805,0
125179,0.2785554273222876,0
257465,0.5174402168335348,1
310780,0.330276026332864,0
448710,0.27276497607430583,0
285380,0.3613359748869804,0
224842,0.3311881492921707,0
144406,0.44122966669989194,0
266757,0.06834288454609579,0
233609,0.5650532586409699,1
380445,0.48504050567692475,1
203379,0.7486428436246665,1
330847,0.7311971638017128,1
156356,0.7736325405360883,1
345352,0.43973186197961023,0
419554,0.3770463049957996,0
220362,0.6590856340084913,1
328453,0.45260250836204957,0
449410,0.3949302830720867,0
112653,0.2508652602401897,0
432155,0.3550205285698276,0
389297,0.589669867307632,1
435078,0.23712807272983885,0
227733,0.47385530159441736,1
332719,0.21231490692736524,0
306143,0.8128274057978561,1
236093,0.7423039602954109,1
102577,0.18231603535670304,0
216798,0.5212215287422775,1
190469,0.2580275693967885,0
127696,0.2509481365656662,0
160803,0.35664575573156987,0
410475,0.44984645122345773,0
422952,0.5046128540083822,1
135028,0.14623444407393235,0
155830,0.6438843695666018,1
447392,0.5149208774762267,1
278419,0.33120871072521213,0
361842,0.07960854985055976,0
106709,0.555070566561468,1
388583,0.06419533278673543,0
301773,0.6528229889756918,1
193702,0.11803797595327076,0
333786,0.16435184706576192,0
335120,0.6128885018596978,1
448815,0.2736497015468173,0
359879,0.23108002697207933,0
320858,0.08093045122255188,0
198077,0.16554901397903146,0
154503,0.2879810908313686,0
245136,0.24623405858640574,0
145955,0.5294304737309115,1
336384,0.4690561337193365,1
445251,0.4557561665701343,0
150736,0.4232395642635476,0
433303,0.7238046731834356,1
357407,0.2655384244959789,0
191522,0.3117296774090713,0
443580,0.6765959946894017,1
321301,0.4191341963018727,0
194426,0.5368585259656388,1
338837,0.25669700995049416,0
286022,0.19839908968501793,0
439953,0.19594569579361676,0
127428,0.6416075035654544,1
297232,0.5158924862546269,1
259489,0.588854306805172,1
106351,0.2665781602900598,0
351092,0.4681935072312617,1
288872,0.18037328204697745,0
130816,0.466420153676406,1
194435,0.30990817445714336,0
351179,0.24063544863306888,0
351500,0.632973097281536,1
441851,0.17315254162400068,0
121285,0.6773777093061658,1
197214,0.7051069268533745,1
184059,0.26588017700994965,0
451269,0.5529585386098236,1
208432,0.2026346916677832,0
409439,0.40197313358920134,0
230474,0.4212062227257176,0
218543,0.5161525137001919,1
452407,0.8035973567112232,1
321863,0.46305009189521873,1
446066,0.44967001270474344,0
171206,0.18475875457030244,0
304478,0.29449609690790346,0
344092,0.6537144295846801,1
260773,0.7908028312263933,1
400942,0.19171771322468986,0
271350,0.35081039376200496,0
323037,0.28701107576238993,0
361664,0.3133788994645833,0
268686,0.26345058457113574,0
154352,0.10211731866497387,0
144620,0.7437560255971254,1
384507,0.7317380931133054,1
327013,0.17383245978565803,0
245900,0.5695220333910164,1
425144,0.5824252611235131,1
245079,0.44593452062574546,0
174197,0.45071072450730215,0
162524,0.4279302477332134,0
442225,0.5967250539721469,1
143697,0.4309165436833552,0
420034,0.27230693662131034,0
372114,0.2635927063840228,0
152727,0.5149445102448841,1
250629,0.11458621505959032,0
135923,0.3160195056679322,0
381518,0.24623378849407296,0
372056,0.6809401972030297,1
420488,0.5205236855908586,1
169409,0.36012645195433174,0
185251,0.33430970769232105,0
312947,0.4174366757899327,0
133211,0.6807674587820656,1
149181,0.44158158247270646,0
167289,0.5845951325711052,1
274779,0.28709027158007344,0
325190,0.7708570170357412,1
