SK_ID_CURR,TARGET,TARGET_PROB
215138,0,0.0583236538726787
325963,1,0.1316847709069208
206923,1,0.10807829343587341
265855,0,0.07282685708741338
359795,0,0.06014689877009888
395230,1,0.12091933069792252
230166,0,0.07815183153826799
286568,1,0.16720423680986063
236576,1,0.0954543045475377
204357,0,0.045716723821869705
378338,0,0.03603948539693148
429599,1,0.12475836806145901
385538,0,0.04049944986139972
204899,1,0.17055499110624145
168679,1,0.11832006703140413
281751,0,0.058988776567209474
292091,0,0.05398229857252052
348686,0,0.0797966143010214
104935,0,0.03644581241246728
421130,0,0.05516088978520893
235975,0,0.06457676488356105
328391,1,0.29592539358263603
431335,0,0.04901979171726019
170201,0,0.04941617786381222
318905,1,0.1170759746211598
209955,1,0.12014641460429878
406338,1,0.18903708831401567
315953,1,0.23770699222696046
132589,0,0.057277899436882364
187515,0,0.0649627073676322
361061,0,0.0795908802028133
218717,1,0.08122290011470126
199044,0,0.06131185355837769
431122,0,0.05569523854365905
221899,0,0.040665678431786124
339086,1,0.14677121611481828
349758,1,0.12513651054238006
279881,0,0.037758011862774776
434900,1,0.11748487356206842
450416,1,0.10047598750544051
107039,0,0.040336146555084586
200381,0,0.03123169448473253
392644,1,0.08188690579685731
143305,0,0.029564312018733514
397621,1,0.08364059900147203
162757,0,0.03466460125572779
186958,0,0.051986793408638696
422504,0,0.043769890772285144
352400,0,0.040468939331363654
414413,1,0.09407689821111911
346612,0,0.019665591499906033
282392,1,0.11804018869762832
446439,1,0.09254580180137038
229321,0,0.04416794696150305
196081,0,0.03580553867552059
372845,0,0.05464480419209285
125179,0,0.055147597848438576
257465,0,0.06738339953816774
310780,0,0.061226315061085466
448710,0,0.03556047061303438
285380,0,0.04126381458957552
224842,0,0.05470467618268213
144406,1,0.09847831662367025
266757,0,0.01637457843578519
233609,1,0.10691313891303403
380445,1,0.09548678305896956
203379,1,0.19337140807997114
330847,1,0.19658728164108977
156356,1,0.15542116116960797
345352,0,0.057135680274643746
419554,0,0.04711470258820051
220362,1,0.10240403722161781
328453,0,0.05772801240811261
449410,0,0.05329978721478276
112653,0,0.07216947233942733
432155,1,0.08370708203376284
389297,1,0.09917077012722149
435078,0,0.03820705133349696
227733,0,0.07350489960077562
332719,0,0.03711118038010327
306143,1,0.2130767845690693
236093,1,0.16910018403277693
102577,0,0.04225900526224307
216798,1,0.1136844884684315
190469,0,0.06152109985753166
127696,0,0.04431725696988121
160803,0,0.06912074520242488
410475,0,0.07766439461028375
422952,1,0.11412951806954152
